,UserID,Game,Hours,Ratings
524,53875128,Ethan Meteor Hunter,0.1,1
526,53875128,Reus,0.1,1
837,140954425,Team Fortress 2,13.0,1
839,26122540,Call of Duty Modern Warfare 2 - Multiplayer,92.0,2
841,26122540,Call of Duty Modern Warfare 2,47.0,2
843,26122540,Call of Duty Black Ops - Multiplayer,22.0,2
845,26122540,Counter-Strike Source,10.3,1
847,26122540,Dungeon Defenders,6.8,1
849,26122540,Call of Duty Black Ops,3.1,1
851,26122540,Day of Defeat Source,1.1,1
856,176410694,Dota 2,9.1,1
858,197278511,Dota 2,0.5,1
860,150128162,Team Fortress 2,42.0,2
862,197455089,Dota 2,3.4,1
864,63024728,Empire Total War,42.0,2
866,297811211,ARK Survival Evolved,29.0,2
868,297811211,Team Fortress 2,10.1,1
870,297811211,Unturned,5.6,1
872,76933274,Alien Swarm,1.0,1
874,218323237,Dota 2,14.8,1
876,218323237,Tomb Raider,8.8,1
878,218323237,TERA,0.9,1
880,302186258,Dota 2,4.2,1
882,126340495,Dota 2,1784.0,5
884,126340495,Counter-Strike Global Offensive,626.0,4
886,126340495,Counter-Strike Source,176.0,3
888,126340495,Rust,69.0,2
890,126340495,Saints Row IV,48.0,2
892,126340495,Team Fortress 2,16.1,1
894,126340495,Dead Island Riptide,13.6,1
896,126340495,Flatout 3,11.7,1
898,126340495,Garry's Mod,10.2,1
900,126340495,Counter-Strike Nexon Zombies,5.8,1
902,126340495,Outlast,4.1,1
904,126340495,Robocraft,2.3,1
906,126340495,Far Cry 3,2.2,1
908,126340495,Everlasting Summer,0.6,1
910,126340495,Dead Island Epidemic,0.6,1
912,126340495,War Thunder,0.4,1
914,126340495,DCS World,0.3,1
929,194895541,Dota 2,1.1,1
931,194895541,Tactical Intervention,0.4,1
935,170625356,Dota 2,7.4,1
938,167362888,Dota 2,135.0,3
940,208649703,Counter-Strike Global Offensive,125.0,3
947,225987202,Dota 2,3.8,1
949,195071563,Dota 2,6.2,1
951,254906420,Team Fortress 2,1.2,1
953,247160953,Dota 2,1.9,1
955,308653033,Unturned,0.6,1
958,144138643,Dota 2,5.2,1
961,97298878,Medal of Honor(TM) Multiplayer,44.0,2
963,97298878,Max Payne 2 The Fall of Max Payne,32.0,2
965,97298878,Middle-earth Shadow of Mordor,26.0,2
967,97298878,Mafia II,15.9,1
969,97298878,Nosgoth,15.8,1
971,97298878,Race The Sun,10.5,1
973,97298878,Space Pirates and Zombies,9.5,1
975,97298878,Revenge of the Titans,9.2,1
977,97298878,Team Fortress 2,9.0,1
979,97298878,Dota 2,8.6,1
981,97298878,A Virus Named TOM,8.3,1
983,97298878,Europa Universalis III,8.3,1
985,97298878,Awesomenauts,8.2,1
987,97298878,Super Puzzle Platformer Deluxe,5.9,1
989,97298878,Super Meat Boy,4.7,1
991,97298878,LIMBO,1.3,1
993,97298878,Mark of the Ninja,0.9,1
995,97298878,Burnout Paradise The Ultimate Box,0.6,1
997,97298878,Mirror's Edge,0.5,1
999,97298878,Crysis 2 Maximum Edition,0.5,1
1001,97298878,Painkiller Overdose,0.4,1
1003,97298878,Cogs,0.2,1
1005,97298878,Crayon Physics Deluxe,0.2,1
1007,97298878,Osmos,0.1,1
1052,173909336,America's Army Proving Grounds,1118.0,5
1054,173909336,Tom Clancy's Ghost Recon Phantoms - NA,17.2,1
1056,173909336,APB Reloaded,5.9,1
1060,198572546,Dota 2,12.7,1
1062,219509107,Dota 2,2.1,1
1064,202906503,Dota 2,10.4,1
1066,92107940,The Elder Scrolls V Skyrim,110.0,3
1068,92107940,7 Days to Die,99.0,2
1070,92107940,Garry's Mod,40.0,2
1072,92107940,Far Cry 3 Blood Dragon,30.0,2
1074,92107940,ORION Prelude,10.0,1
1076,92107940,Hotline Miami,8.4,1
1078,92107940,Goat Simulator,1.9,1
1080,92107940,Hotline Miami 2 Wrong Number,0.8,1
1082,92107940,Amnesia A Machine for Pigs,0.5,1
1086,251431515,Dota 2,0.9,1
1088,233558010,Batman Arkham City GOTY,79.0,2
1090,233558010,Deadpool,34.0,2
1092,99189757,Team Fortress 2,1085.0,5
1095,30695285,Counter-Strike Condition Zero,36.0,2
1097,30695285,Counter-Strike,0.2,1
1103,259648553,Mad Max,16.9,1
1105,201069271,Dota 2,4.8,1
1107,48845802,Counter-Strike,211.0,3
1109,48845802,Mount & Blade Warband,78.0,2
1111,48845802,Counter-Strike Condition Zero,60.0,2
1113,48845802,Castle Crashers,31.0,2
1115,48845802,Call of Duty Black Ops,11.3,1
1117,48845802,Call of Duty Black Ops - Multiplayer,10.0,1
1119,48845802,Tom Clancy's Ghost Recon Phantoms - EU,7.8,1
1121,48845802,Left 4 Dead,1.1,1
1123,48845802,SMITE,0.9,1
1125,48845802,Ricochet,0.3,1
1127,48845802,Kane & Lynch 2 Dog Days,0.2,1
1133,226212066,Counter-Strike Global Offensive,94.0,2
1135,226212066,Unturned,15.0,1
1137,226212066,Garry's Mod,10.8,1
1139,226212066,PAYDAY 2,6.7,1
1141,226212066,Team Fortress 2,3.6,1
1143,226212066,Infinite Crisis,2.4,1
1145,226212066,AdVenture Capitalist,2.1,1
1147,226212066,DiggerOnline,0.9,1
1149,226212066,Survarium,0.7,1
1151,226212066,Heroes & Generals,0.2,1
1156,221430493,Dota 2,5.3,1
1159,62923086,Counter-Strike,91.0,2
1168,250006052,The Elder Scrolls V Skyrim,465.0,3
1170,250006052,Project CARS,40.0,2
1176,65117175,Defense Grid The Awakening,66.0,2
1178,65117175,Broken Age,35.0,2
1180,65117175,Cloud Chamber,22.0,2
1182,65117175,Stacking,19.6,1
1184,65117175,Ghostbusters The Video Game,16.3,1
1186,65117175,Faerie Solitaire,14.7,1
1188,65117175,Dreamfall Chapters,14.6,1
1190,65117175,Portal Stories Mel,14.3,1
1192,65117175,Universe Sandbox,13.3,1
1194,65117175,Portal 2,11.3,1
1196,65117175,Toki Tori,11.2,1
1198,65117175,The Wonderful End of the World,10.5,1
1200,65117175,Hacker Evolution,9.5,1
1202,65117175,Portal,9.1,1
1204,65117175,Thomas Was Alone,9.0,1
1206,65117175,Little Inferno,8.9,1
1208,65117175,BIT.TRIP RUNNER,8.6,1
1210,65117175,The Stanley Parable,7.1,1
1212,65117175,Costume Quest,7.1,1
1214,65117175,RUSH,7.1,1
1216,65117175,Return to Mysterious Island 2,5.9,1
1218,65117175,World of Goo,5.9,1
1220,65117175,Deus Ex Game of the Year Edition,5.6,1
1222,65117175,Portal 2 - The Final Hours,5.6,1
1224,65117175,AaAaAA!!! - A Reckless Disregard for Gravity,5.3,1
1226,65117175,Audiosurf,5.2,1
1228,65117175,Machinarium,5.1,1
1230,65117175,VVVVVV,5.1,1
1232,65117175,GEARCRACK Arena,4.7,1
1234,65117175,Quantum Conundrum,4.3,1
1236,65117175,Mission Control NanoMech,4.1,1
1238,65117175,Defense Grid 2 A Matter of Endurance,4.1,1
1240,65117175,Alan Wake's American Nightmare,3.7,1
1242,65117175,Sam & Max 101 Culture Shock,3.7,1
1244,65117175,Back to the Future Ep 2 - Get Tannen!,3.6,1
1246,65117175,The Ball,3.6,1
1248,65117175,Torchlight II,3.6,1
1250,65117175,Back to the Future Ep 5 - OUTATIME,3.4,1
1252,65117175,Amnesia The Dark Descent,3.3,1
1254,65117175,Sam & Max 102 Situation Comedy,3.2,1
1256,65117175,Jamestown,3.2,1
1258,65117175,Oozi Earth Adventure,3.1,1
1260,65117175,Back to the Future Ep 1 - It's About Time,2.9,1
1262,65117175,Back to the Future Ep 4 - Double Visions,2.8,1
1264,65117175,Organ Trail Director's Cut,2.7,1
1266,65117175,Back to the Future Ep 3 - Citizen Brown,2.6,1
1268,65117175,Fester Mudd Curse of the Gold - Episode 1,2.3,1
1270,65117175,BIT.TRIP BEAT,2.2,1
1272,65117175,Braid,2.2,1
1274,65117175,A Virus Named TOM,2.1,1
1276,65117175,FTL Faster Than Light,2.0,1
1278,65117175,Atom Zombie Smasher ,2.0,1
1280,65117175,Team Fortress 2,1.3,1
1282,65117175,Super Meat Boy,1.2,1
1284,65117175,1... 2... 3... KICK IT! (Drop That Beat Like an Ugly Baby),1.2,1
1286,65117175,Bastion,1.1,1
1288,65117175,Osmos,1.0,1
1290,65117175,Cogs,1.0,1
1292,65117175,Botanicula,0.9,1
1294,65117175,Killing Floor,0.9,1
1296,65117175,And Yet It Moves,0.8,1
1298,65117175,NightSky,0.6,1
1300,65117175,Ticket to Ride,0.5,1
1302,65117175,Penumbra Overture,0.4,1
1304,65117175,Dear Esther,0.3,1
1306,65117175,Crayon Physics Deluxe,0.3,1
1308,65117175,Lucid,0.2,1
1310,65117175,Critical Mass,0.1,1
1371,227944885,Dota 2,62.0,2
1373,144004384,Dota 2,22.0,2
1375,236557903,Team Fortress 2,2.0,1
1377,236557903,S.K.I.L.L. - Special Force 2,0.9,1
1379,236557903,BLOCKADE 3D,0.3,1
1382,11373749,Team Fortress 2,762.0,4
1384,11373749,Rocket League,348.0,3
1386,11373749,Left 4 Dead 2,270.0,3
1388,11373749,The Elder Scrolls V Skyrim,220.0,3
1390,11373749,Audiosurf,113.0,3
1392,11373749,Fallout 3 - Game of the Year Edition,105.0,3
1394,11373749,The Elder Scrolls IV Oblivion ,99.0,2
1396,11373749,Terraria,84.0,2
1398,11373749,Assassin's Creed Brotherhood,62.0,2
1400,11373749,Grand Theft Auto V,61.0,2
1402,11373749,Saints Row 2,58.0,2
1404,11373749,Grand Theft Auto Episodes from Liberty City,57.0,2
1406,11373749,The Witcher Enhanced Edition,56.0,2
1408,11373749,Super Meat Boy,46.0,2
1410,11373749,Left 4 Dead,44.0,2
1412,11373749,Saints Row The Third,44.0,2
1414,11373749,Batman Arkham Origins,41.0,2
1416,11373749,The Witcher 2 Assassins of Kings Enhanced Edition,39.0,2
1418,11373749,The Elder Scrolls III Morrowind,38.0,2
1420,11373749,Bookworm Adventures Deluxe,38.0,2
1422,11373749,Star Wars Knights of the Old Republic,36.0,2
1424,11373749,Watch_Dogs,32.0,2
1426,11373749,Sleeping Dogs,31.0,2
1428,11373749,GRID,31.0,2
1430,11373749,Hidden Object Bundle 4 in 1,27.0,2
1432,11373749,Darksiders,24.0,2
1434,11373749,Worms Reloaded,23.0,2
1436,11373749,FlatOut Ultimate Carnage,23.0,2
1438,11373749,SimCity 4 Deluxe,23.0,2
1440,11373749,Portal 2,22.0,2
1442,11373749,Call of Duty Black Ops - Multiplayer,21.0,2
1444,11373749,Rogue Legacy,21.0,2
1446,11373749,Trine,21.0,2
1448,11373749,Chivalry Medieval Warfare,19.9,1
1450,11373749,Spelunky,19.8,1
1452,11373749,Ghost Master,19.7,1
1454,11373749,Peggle Deluxe,19.7,1
1456,11373749,Alan Wake,19.5,1
1458,11373749,Peggle Nights,19.5,1
1460,11373749,Sherlock Holmes Nemesis,19.4,1
1462,11373749,Puzzler World 2,19.1,1
1464,11373749,Tomb Raider,18.3,1
1466,11373749,Bejeweled 3,18.2,1
1468,11373749,Half-Life 2,18.1,1
1470,11373749,Alice Madness Returns,17.3,1
1472,11373749,BioShock,17.1,1
1474,11373749,The Book of Unwritten Tales,15.4,1
1476,11373749,FEZ,15.0,1
1478,11373749,The Movies,14.5,1
1480,11373749,Guacamelee! Gold Edition,14.4,1
1482,11373749,The Walking Dead,14.0,1
1484,11373749,MacGuffin's Curse,13.8,1
1486,11373749,The Testament of Sherlock Holmes,13.8,1
1488,11373749,Bully Scholarship Edition,13.5,1
1490,11373749,Indigo Prophecy,12.8,1
1492,11373749,Just Cause 2,12.7,1
1494,11373749,Crazy Machines 2,12.6,1
1496,11373749,The Secret of Monkey Island Special Edition,12.4,1
1498,11373749,Kingdoms of Amalur Reckoning,12.4,1
1500,11373749,"Cook, Serve, Delicious!",11.6,1
1502,11373749,Deponia The Complete Journey,11.3,1
1504,11373749,Game Dev Tycoon,11.3,1
1506,11373749,Prison Architect,11.2,1
1508,11373749,Bastion,11.1,1
1510,11373749,Call of Duty Modern Warfare 2,11.0,1
1512,11373749,Tales of Monkey Island Chapter 1 - Launch of the Screaming Narwhal,10.7,1
1514,11373749,DiRT 2,10.5,1
1516,11373749,Worms Clan Wars,10.4,1
1518,11373749,Ghostbusters The Video Game,10.1,1
1520,11373749,Monkey Island 2 Special Edition,9.8,1
1522,11373749,Vessel,9.7,1
1524,11373749,Dishonored,9.7,1
1526,11373749,4 Elements,9.4,1
1528,11373749,Cryostasis,9.3,1
1530,11373749,The Ball,9.0,1
1532,11373749,TrackMania Stadium,8.8,1
1534,11373749,Aura Fate of the Ages,8.4,1
1536,11373749,Cave Story+,7.9,1
1538,11373749,Scribblenauts Unlimited,7.8,1
1540,11373749,Eets,7.8,1
1542,11373749,Trials 2 Second Edition,7.7,1
1544,11373749,Grim Legends The Forsaken Bride,7.7,1
1546,11373749,Call of Duty Modern Warfare 2 - Multiplayer,7.7,1
1548,11373749,Machinarium,7.6,1
1550,11373749,Call of Duty Black Ops,7.5,1
1552,11373749,Nightmares from the Deep 2 The Siren`s Call,7.4,1
1554,11373749,Banished,7.2,1
1556,11373749,Lara Croft and the Guardian of Light,7.2,1
1558,11373749,Antichamber,7.2,1
1560,11373749,Goat Simulator,7.0,1
1562,11373749,Tales of Monkey Island Chapter 2 - The Siege of Spinner Cay ,7.0,1
1564,11373749,The Jackbox Party Pack,7.0,1
1566,11373749,Abyss The Wraiths of Eden,6.8,1
1568,11373749,Anodyne,6.7,1
1570,11373749,Tales of Monkey Island Chapter 3 - Lair of the Leviathan ,6.7,1
1572,11373749,Penumbra Overture,6.6,1
1574,11373749,Singularity,6.6,1
1576,11373749,Osmos,6.5,1
1578,11373749,The Maw,6.5,1
1580,11373749,Psychonauts,6.1,1
1582,11373749,Poker Night at the Inventory,5.9,1
1584,11373749,Penumbra Black Plague,5.7,1
1586,11373749,Sinister City,5.6,1
1588,11373749,Puzzle Agent,5.6,1
1590,11373749,S.T.A.L.K.E.R. Shadow of Chernobyl,5.5,1
1592,11373749,Counter-Strike Global Offensive,5.5,1
1594,11373749,Cargo! - The quest for gravity,5.4,1
1596,11373749,Rocketbirds Hardboiled Chicken,5.3,1
1598,11373749,Atom Zombie Smasher ,5.3,1
1600,11373749,Nightmares from the Deep The Cursed Heart,5.3,1
1602,11373749,"Papers, Please",5.2,1
1604,11373749,Insanely Twisted Shadow Planet,5.1,1
1606,11373749,Surgeon Simulator,4.9,1
1608,11373749,Cities Skylines,4.7,1
1610,11373749,Alchemy Mysteries Prague Legends,4.6,1
1612,11373749,Clockwork Tales Of Glass and Ink,4.5,1
1614,11373749,CID The Dummy,4.4,1
1616,11373749,Tales of Monkey Island Chapter 4 - The Trial and Execution of Guybrush Threepwood ,4.4,1
1618,11373749,Portal,4.4,1
1620,11373749,Puzzle Agent 2,4.3,1
1622,11373749,Torchlight II,4.2,1
1624,11373749,9 Clues The Secret of Serpent Creek,4.2,1
1626,11373749,The Tiny Bang Story,4.2,1
1628,11373749,Braid,4.1,1
1630,11373749,VVVVVV,4.0,1
1632,11373749,And Yet It Moves,4.0,1
1634,11373749,Broken Age,3.9,1
1636,11373749,Wallace & Gromit Ep 1 Fright of the Bumblebees,3.8,1
1638,11373749,Shoppe Keep,3.6,1
1640,11373749,Gone Home,3.4,1
1642,11373749,Windosill,3.4,1
1644,11373749,Plants vs. Zombies Game of the Year,3.4,1
1646,11373749,Sam & Max 105 Reality 2.0,3.3,1
1648,11373749,Tales of Monkey Island Chapter 5 - Rise of the Pirate God,3.2,1
1650,11373749,ibb & obb,3.2,1
1652,11373749,Botanicula,3.2,1
1654,11373749,Monaco,3.1,1
1656,11373749,Obulis,2.9,1
1658,11373749,Nidhogg,2.9,1
1660,11373749,Sam & Max 106 Bright Side of the Moon,2.8,1
1662,11373749,Alien Swarm,2.7,1
1664,11373749,Chime,2.7,1
1666,11373749,RollerCoaster Tycoon 3 Platinum!,2.6,1
1668,11373749,Sam & Max 101 Culture Shock,2.6,1
1670,11373749,Sam & Max 104 Abe Lincoln Must Die!,2.5,1
1672,11373749,"Ben There, Dan That!",2.5,1
1674,11373749,Hector Ep 1,2.4,1
1676,11373749,Resident Evil 5 / Biohazard 5,2.4,1
1678,11373749,Dungeon Defenders,2.3,1
1680,11373749,The Wolf Among Us,2.3,1
1682,11373749,Fate of the World,2.3,1
1684,11373749,State of Decay,2.3,1
1686,11373749,Dota 2,2.2,1
1688,11373749,Contagion,2.1,1
1690,11373749,Shatter,2.0,1
1692,11373749,World of Goo,2.0,1
1694,11373749,Toki Tori,1.9,1
1696,11373749,The Beginner's Guide,1.9,1
1698,11373749,Octodad Dadliest Catch,1.8,1
1700,11373749,TRAUMA,1.8,1
1702,11373749,Trials Evolution Gold Edition,1.5,1
1704,11373749,Half-Life,1.5,1
1706,11373749,"Sam & Max 103 The Mole, the Mob and the Meatball",1.5,1
1708,11373749,Penumbra Requiem,1.5,1
1710,11373749,Spectraball,1.5,1
1712,11373749,Plain Sight,1.4,1
1714,11373749,The Cave,1.4,1
