,UserID,Game,Hours,Min_Hours,Max_Hours,Ratings
86,53898495,The Elder Scrolls V Skyrim,58.0,0.1,1986.0,0.029204431017119836
87,136135322,The Elder Scrolls V Skyrim,25.0,0.1,1986.0,0.012588116817724069
88,8542204,The Elder Scrolls V Skyrim,1.7,0.1,1986.0,0.0008559919436052368
89,69009454,The Elder Scrolls V Skyrim,16.5,0.1,1986.0,0.008308157099697884
91,43360645,The Elder Scrolls V Skyrim,1.3,0.1,1986.0,0.0006545820745216517
92,45974860,The Elder Scrolls V Skyrim,32.0,0.1,1986.0,0.01611278952668681
94,105877396,The Elder Scrolls V Skyrim,1.0,0.1,1986.0,0.0005035246727089627
95,80779496,The Elder Scrolls V Skyrim,27.0,0.1,1986.0,0.013595166163141994
96,24011187,The Elder Scrolls V Skyrim,7.9,0.1,1986.0,0.0039778449144008046
97,24469287,The Elder Scrolls V Skyrim,26.0,0.1,1986.0,0.013091641490433032
98,39622853,The Elder Scrolls V Skyrim,30.0,0.1,1986.0,0.015105740181268885
99,116617462,The Elder Scrolls V Skyrim,15.6,0.1,1986.0,0.00785498489425982
100,11403772,The Elder Scrolls V Skyrim,39.0,0.1,1986.0,0.019637462235649543
101,254814380,The Elder Scrolls V Skyrim,1.4,0.1,1986.0,0.0007049345417925477
102,50744279,The Elder Scrolls V Skyrim,0.7,0.1,1986.0,0.00035246727089627386
103,82046939,The Elder Scrolls V Skyrim,2.8,0.1,1986.0,0.0014098690835850955
105,27171538,The Elder Scrolls V Skyrim,75.0,0.1,1986.0,0.0377643504531722
106,240405101,The Elder Scrolls V Skyrim,1.2,0.1,1986.0,0.0006042296072507553
108,199948316,The Elder Scrolls V Skyrim,0.6,0.1,1986.0,0.00030211480362537764
109,119170251,The Elder Scrolls V Skyrim,41.0,0.1,1986.0,0.020644511581067476
110,99077905,The Elder Scrolls V Skyrim,5.0,0.1,1986.0,0.0025176233635448137
113,127325079,The Elder Scrolls V Skyrim,5.9,0.1,1986.0,0.0029707955689828804
114,152585209,The Elder Scrolls V Skyrim,3.8,0.1,1986.0,0.0019133937562940586
115,258213980,The Elder Scrolls V Skyrim,7.2,0.1,1986.0,0.003625377643504532
117,149790632,The Elder Scrolls V Skyrim,40.0,0.1,1986.0,0.02014098690835851
121,93669877,The Elder Scrolls V Skyrim,12.1,0.1,1986.0,0.006092648539778449
123,11207650,The Elder Scrolls V Skyrim,1.1,0.1,1986.0,0.000553877139979859
124,2259650,The Elder Scrolls V Skyrim,1.2,0.1,1986.0,0.0006042296072507553
125,59115473,The Elder Scrolls V Skyrim,6.6,0.1,1986.0,0.003323262839879154
126,225829163,The Elder Scrolls V Skyrim,70.0,0.1,1986.0,0.035246727089627394
128,103690917,The Elder Scrolls V Skyrim,18.4,0.1,1986.0,0.009264853977844914
129,287848624,The Elder Scrolls V Skyrim,4.3,0.1,1986.0,0.00216515609264854
132,111130695,The Elder Scrolls V Skyrim,3.5,0.1,1986.0,0.0017623363544813696
133,181453879,The Elder Scrolls V Skyrim,25.0,0.1,1986.0,0.012588116817724069
134,138960345,The Elder Scrolls V Skyrim,6.9,0.1,1986.0,0.003474320241691843
137,83234559,The Elder Scrolls V Skyrim,12.1,0.1,1986.0,0.006092648539778449
138,190049238,The Elder Scrolls V Skyrim,0.8,0.1,1986.0,0.0004028197381671702
140,122679931,The Elder Scrolls V Skyrim,45.0,0.1,1986.0,0.02265861027190332
142,101725007,The Elder Scrolls V Skyrim,0.6,0.1,1986.0,0.00030211480362537764
143,30440303,The Elder Scrolls V Skyrim,23.0,0.1,1986.0,0.011581067472306144
145,62878249,The Elder Scrolls V Skyrim,74.0,0.1,1986.0,0.03726082578046324
147,179772319,The Elder Scrolls V Skyrim,13.5,0.1,1986.0,0.006797583081570997
148,96282673,The Elder Scrolls V Skyrim,20.0,0.1,1986.0,0.010070493454179257
149,119211545,The Elder Scrolls V Skyrim,12.8,0.1,1986.0,0.006445115810674723
150,122026623,The Elder Scrolls V Skyrim,0.7,0.1,1986.0,0.00035246727089627386
154,99723205,The Elder Scrolls V Skyrim,9.2,0.1,1986.0,0.004632426988922457
155,136866564,The Elder Scrolls V Skyrim,48.0,0.1,1986.0,0.024169184290030208
157,36546868,The Elder Scrolls V Skyrim,9.3,0.1,1986.0,0.004682779456193354
158,72996988,The Elder Scrolls V Skyrim,2.1,0.1,1986.0,0.0010574018126888218
159,95325409,The Elder Scrolls V Skyrim,5.0,0.1,1986.0,0.0025176233635448137
160,115958331,The Elder Scrolls V Skyrim,57.0,0.1,1986.0,0.02870090634441088
162,172470005,The Elder Scrolls V Skyrim,12.2,0.1,1986.0,0.006143001007049345
166,124878949,The Elder Scrolls V Skyrim,55.0,0.1,1986.0,0.02769385699899295
167,171067153,The Elder Scrolls V Skyrim,14.2,0.1,1986.0,0.0071500503524672705
168,60859324,The Elder Scrolls V Skyrim,28.0,0.1,1986.0,0.014098690835850957
173,6717871,The Elder Scrolls V Skyrim,5.4,0.1,1986.0,0.002719033232628399
175,11978743,The Elder Scrolls V Skyrim,0.3,0.1,1986.0,0.00015105740181268882
176,2083767,The Elder Scrolls V Skyrim,42.0,0.1,1986.0,0.02114803625377644
180,188189790,The Elder Scrolls V Skyrim,1.7,0.1,1986.0,0.0008559919436052368
181,45120292,The Elder Scrolls V Skyrim,62.0,0.1,1986.0,0.03121852970795569
183,151234988,The Elder Scrolls V Skyrim,44.0,0.1,1986.0,0.02215508559919436
184,137837203,The Elder Scrolls V Skyrim,6.9,0.1,1986.0,0.003474320241691843
189,169688576,The Elder Scrolls V Skyrim,0.1,0.1,1986.0,5.0352467270896274e-05
190,33013552,The Elder Scrolls V Skyrim,5.0,0.1,1986.0,0.0025176233635448137
193,197328486,The Elder Scrolls V Skyrim,11.6,0.1,1986.0,0.005840886203423968
194,152497084,The Elder Scrolls V Skyrim,3.4,0.1,1986.0,0.0017119838872104733
195,106066141,The Elder Scrolls V Skyrim,7.5,0.1,1986.0,0.003776435045317221
197,122798021,The Elder Scrolls V Skyrim,35.0,0.1,1986.0,0.017623363544813697
198,213022303,The Elder Scrolls V Skyrim,1.3,0.1,1986.0,0.0006545820745216517
199,33706322,The Elder Scrolls V Skyrim,6.8,0.1,1986.0,0.0034239677744209466
200,100057229,The Elder Scrolls V Skyrim,19.3,0.1,1986.0,0.009718026183282982
202,102552233,The Elder Scrolls V Skyrim,66.0,0.1,1986.0,0.033232628398791535
203,209626174,The Elder Scrolls V Skyrim,33.0,0.1,1986.0,0.016616314199395767
204,63965791,The Elder Scrolls V Skyrim,21.0,0.1,1986.0,0.010574018126888218
206,278678644,The Elder Scrolls V Skyrim,60.0,0.1,1986.0,0.03021148036253777
209,92663477,The Elder Scrolls V Skyrim,32.0,0.1,1986.0,0.01611278952668681
211,86055705,The Elder Scrolls V Skyrim,7.7,0.1,1986.0,0.0038771399798590133
212,58057627,The Elder Scrolls V Skyrim,9.3,0.1,1986.0,0.004682779456193354
213,119310413,The Elder Scrolls V Skyrim,2.1,0.1,1986.0,0.0010574018126888218
214,3449240,The Elder Scrolls V Skyrim,11.6,0.1,1986.0,0.005840886203423968
216,39037163,The Elder Scrolls V Skyrim,11.2,0.1,1986.0,0.005639476334340383
217,55426012,The Elder Scrolls V Skyrim,6.4,0.1,1986.0,0.003222557905337361
218,45774794,The Elder Scrolls V Skyrim,17.8,0.1,1986.0,0.008962739174219537
219,62633395,The Elder Scrolls V Skyrim,44.0,0.1,1986.0,0.02215508559919436
220,154458931,The Elder Scrolls V Skyrim,2.6,0.1,1986.0,0.0013091641490433033
221,108007732,The Elder Scrolls V Skyrim,55.0,0.1,1986.0,0.02769385699899295
222,28648610,The Elder Scrolls V Skyrim,21.0,0.1,1986.0,0.010574018126888218
223,145320311,The Elder Scrolls V Skyrim,37.0,0.1,1986.0,0.01863041289023162
224,54568397,The Elder Scrolls V Skyrim,58.0,0.1,1986.0,0.029204431017119836
226,201280043,The Elder Scrolls V Skyrim,0.5,0.1,1986.0,0.00025176233635448137
227,157080495,The Elder Scrolls V Skyrim,17.3,0.1,1986.0,0.008710976837865056
228,70408902,The Elder Scrolls V Skyrim,7.1,0.1,1986.0,0.0035750251762336352
229,37422528,The Elder Scrolls V Skyrim,5.4,0.1,1986.0,0.002719033232628399
230,155718820,The Elder Scrolls V Skyrim,53.0,0.1,1986.0,0.026686807653575024
231,80250756,The Elder Scrolls V Skyrim,1.2,0.1,1986.0,0.0006042296072507553
233,55906572,The Elder Scrolls V Skyrim,5.0,0.1,1986.0,0.0025176233635448137
234,84925352,The Elder Scrolls V Skyrim,16.7,0.1,1986.0,0.008408862034239677
235,11813637,The Elder Scrolls V Skyrim,67.0,0.1,1986.0,0.033736153071500505
236,101687527,The Elder Scrolls V Skyrim,71.0,0.1,1986.0,0.035750251762336364
238,61506388,The Elder Scrolls V Skyrim,71.0,0.1,1986.0,0.035750251762336364
240,75463760,The Elder Scrolls V Skyrim,1.5,0.1,1986.0,0.0007552870090634441
242,191126693,The Elder Scrolls V Skyrim,75.0,0.1,1986.0,0.0377643504531722
243,118695833,The Elder Scrolls V Skyrim,52.0,0.1,1986.0,0.026183282980866064
244,168571967,The Elder Scrolls V Skyrim,1.0,0.1,1986.0,0.0005035246727089627
247,167093760,The Elder Scrolls V Skyrim,3.7,0.1,1986.0,0.0018630412890231621
249,110658990,The Elder Scrolls V Skyrim,10.3,0.1,1986.0,0.005186304128902317
253,187462398,The Elder Scrolls V Skyrim,4.0,0.1,1986.0,0.0020140986908358514
254,242937979,The Elder Scrolls V Skyrim,15.9,0.1,1986.0,0.008006042296072508
256,975449,The Elder Scrolls V Skyrim,43.0,0.1,1986.0,0.0216515609264854
257,107818793,The Elder Scrolls V Skyrim,2.9,0.1,1986.0,0.001460221550855992
260,96588736,The Elder Scrolls V Skyrim,11.1,0.1,1986.0,0.005589123867069486
262,86469479,The Elder Scrolls V Skyrim,23.0,0.1,1986.0,0.011581067472306144
263,91293844,The Elder Scrolls V Skyrim,8.0,0.1,1986.0,0.004028197381671703
265,53091150,The Elder Scrolls V Skyrim,26.0,0.1,1986.0,0.013091641490433032
266,66650717,The Elder Scrolls V Skyrim,37.0,0.1,1986.0,0.01863041289023162
268,104870123,The Elder Scrolls V Skyrim,0.2,0.1,1986.0,0.00010070493454179256
269,15221799,The Elder Scrolls V Skyrim,45.0,0.1,1986.0,0.02265861027190332
270,133439936,The Elder Scrolls V Skyrim,15.7,0.1,1986.0,0.007905337361530715
271,143643478,The Elder Scrolls V Skyrim,2.1,0.1,1986.0,0.0010574018126888218
275,149424772,The Elder Scrolls V Skyrim,2.5,0.1,1986.0,0.0012588116817724068
276,49342564,The Elder Scrolls V Skyrim,0.9,0.1,1986.0,0.0004531722054380665
277,93326304,The Elder Scrolls V Skyrim,62.0,0.1,1986.0,0.03121852970795569
279,91859894,The Elder Scrolls V Skyrim,37.0,0.1,1986.0,0.01863041289023162
280,8585433,The Elder Scrolls V Skyrim,1.0,0.1,1986.0,0.0005035246727089627
281,42771635,The Elder Scrolls V Skyrim,6.3,0.1,1986.0,0.003172205438066465
282,48149238,The Elder Scrolls V Skyrim,2.5,0.1,1986.0,0.0012588116817724068
283,126200826,The Elder Scrolls V Skyrim,13.4,0.1,1986.0,0.006747230614300101
284,146007471,The Elder Scrolls V Skyrim,2.7,0.1,1986.0,0.0013595166163141994
285,132418423,The Elder Scrolls V Skyrim,40.0,0.1,1986.0,0.02014098690835851
287,47384202,The Elder Scrolls V Skyrim,67.0,0.1,1986.0,0.033736153071500505
288,76787637,The Elder Scrolls V Skyrim,0.2,0.1,1986.0,0.00010070493454179256
289,99264709,The Elder Scrolls V Skyrim,0.8,0.1,1986.0,0.0004028197381671702
293,165239864,The Elder Scrolls V Skyrim,11.4,0.1,1986.0,0.005740181268882176
294,88035166,The Elder Scrolls V Skyrim,0.7,0.1,1986.0,0.00035246727089627386
295,65909415,The Elder Scrolls V Skyrim,0.2,0.1,1986.0,0.00010070493454179256
296,44472980,The Elder Scrolls V Skyrim,7.3,0.1,1986.0,0.003675730110775428
300,94858657,The Elder Scrolls V Skyrim,0.5,0.1,1986.0,0.00025176233635448137
301,127311699,The Elder Scrolls V Skyrim,7.5,0.1,1986.0,0.003776435045317221
302,22301321,The Elder Scrolls V Skyrim,54.0,0.1,1986.0,0.027190332326283987
303,190022459,The Elder Scrolls V Skyrim,1.5,0.1,1986.0,0.0007552870090634441
304,92482012,The Elder Scrolls V Skyrim,26.0,0.1,1986.0,0.013091641490433032
306,122492047,The Elder Scrolls V Skyrim,67.0,0.1,1986.0,0.033736153071500505
308,106796307,The Elder Scrolls V Skyrim,1.4,0.1,1986.0,0.0007049345417925477
309,106980036,The Elder Scrolls V Skyrim,16.7,0.1,1986.0,0.008408862034239677
310,94019469,The Elder Scrolls V Skyrim,19.7,0.1,1986.0,0.009919436052366566
311,59205262,The Elder Scrolls V Skyrim,52.0,0.1,1986.0,0.026183282980866064
312,23225650,The Elder Scrolls V Skyrim,18.8,0.1,1986.0,0.0094662638469285
313,80363319,The Elder Scrolls V Skyrim,66.0,0.1,1986.0,0.033232628398791535
314,118031880,The Elder Scrolls V Skyrim,19.5,0.1,1986.0,0.009818731117824771
315,156675178,The Elder Scrolls V Skyrim,2.1,0.1,1986.0,0.0010574018126888218
316,11794760,The Elder Scrolls V Skyrim,0.3,0.1,1986.0,0.00015105740181268882
317,181966419,The Elder Scrolls V Skyrim,18.6,0.1,1986.0,0.009365558912386707
318,93275329,The Elder Scrolls V Skyrim,5.7,0.1,1986.0,0.002870090634441088
319,94110492,The Elder Scrolls V Skyrim,54.0,0.1,1986.0,0.027190332326283987
322,57603447,The Elder Scrolls V Skyrim,3.0,0.1,1986.0,0.0015105740181268882
323,71527252,The Elder Scrolls V Skyrim,47.0,0.1,1986.0,0.02366565961732125
324,170172944,The Elder Scrolls V Skyrim,33.0,0.1,1986.0,0.016616314199395767
325,302606492,The Elder Scrolls V Skyrim,54.0,0.1,1986.0,0.027190332326283987
326,183315077,The Elder Scrolls V Skyrim,3.6,0.1,1986.0,0.0018126888217522656
327,65064340,The Elder Scrolls V Skyrim,41.0,0.1,1986.0,0.020644511581067476
328,38465050,The Elder Scrolls V Skyrim,43.0,0.1,1986.0,0.0216515609264854
333,94239910,The Elder Scrolls V Skyrim,8.4,0.1,1986.0,0.004229607250755287
334,161991221,The Elder Scrolls V Skyrim,68.0,0.1,1986.0,0.03423967774420947
336,81579335,The Elder Scrolls V Skyrim,4.4,0.1,1986.0,0.002215508559919436
338,30246419,The Elder Scrolls V Skyrim,7.0,0.1,1986.0,0.003524672708962739
339,80550861,The Elder Scrolls V Skyrim,5.3,0.1,1986.0,0.0026686807653575023
341,155420511,The Elder Scrolls V Skyrim,38.0,0.1,1986.0,0.019133937562940583
342,127272741,The Elder Scrolls V Skyrim,66.0,0.1,1986.0,0.033232628398791535
344,135865220,The Elder Scrolls V Skyrim,2.2,0.1,1986.0,0.001107754279959718
345,163281091,The Elder Scrolls V Skyrim,4.4,0.1,1986.0,0.002215508559919436
350,11731710,The Elder Scrolls V Skyrim,4.3,0.1,1986.0,0.00216515609264854
351,133404545,The Elder Scrolls V Skyrim,34.0,0.1,1986.0,0.017119838872104734
353,130312302,The Elder Scrolls V Skyrim,37.0,0.1,1986.0,0.01863041289023162
354,160299889,The Elder Scrolls V Skyrim,38.0,0.1,1986.0,0.019133937562940583
355,97571329,The Elder Scrolls V Skyrim,41.0,0.1,1986.0,0.020644511581067476
356,177827103,The Elder Scrolls V Skyrim,26.0,0.1,1986.0,0.013091641490433032
358,181304845,The Elder Scrolls V Skyrim,40.0,0.1,1986.0,0.02014098690835851
361,127335438,The Elder Scrolls V Skyrim,53.0,0.1,1986.0,0.026686807653575024
362,185258131,The Elder Scrolls V Skyrim,2.9,0.1,1986.0,0.001460221550855992
366,79073449,The Elder Scrolls V Skyrim,42.0,0.1,1986.0,0.02114803625377644
368,166863117,The Elder Scrolls V Skyrim,1.6,0.1,1986.0,0.0008056394763343404
370,112986636,The Elder Scrolls V Skyrim,3.2,0.1,1986.0,0.0016112789526686808
372,160749747,The Elder Scrolls V Skyrim,2.2,0.1,1986.0,0.001107754279959718
373,71510748,The Elder Scrolls V Skyrim,1.6,0.1,1986.0,0.0008056394763343404
377,100769089,The Elder Scrolls V Skyrim,23.0,0.1,1986.0,0.011581067472306144
378,81160212,The Elder Scrolls V Skyrim,0.8,0.1,1986.0,0.0004028197381671702
379,98088157,The Elder Scrolls V Skyrim,4.3,0.1,1986.0,0.00216515609264854
382,131610144,The Elder Scrolls V Skyrim,4.3,0.1,1986.0,0.00216515609264854
383,59382844,The Elder Scrolls V Skyrim,35.0,0.1,1986.0,0.017623363544813697
384,297821985,The Elder Scrolls V Skyrim,6.9,0.1,1986.0,0.003474320241691843
385,105788297,The Elder Scrolls V Skyrim,3.6,0.1,1986.0,0.0018126888217522656
386,276958784,The Elder Scrolls V Skyrim,8.8,0.1,1986.0,0.004431017119838872
387,182604873,The Elder Scrolls V Skyrim,9.2,0.1,1986.0,0.004632426988922457
391,121133260,The Elder Scrolls V Skyrim,7.9,0.1,1986.0,0.0039778449144008046
392,156565178,The Elder Scrolls V Skyrim,24.0,0.1,1986.0,0.012084592145015106
393,83135348,The Elder Scrolls V Skyrim,15.3,0.1,1986.0,0.00770392749244713
395,196059860,The Elder Scrolls V Skyrim,0.9,0.1,1986.0,0.0004531722054380665
398,97818502,The Elder Scrolls V Skyrim,21.0,0.1,1986.0,0.010574018126888218
401,105445346,The Elder Scrolls V Skyrim,3.7,0.1,1986.0,0.0018630412890231621
402,103445207,The Elder Scrolls V Skyrim,4.7,0.1,1986.0,0.002366565961732125
403,68719896,The Elder Scrolls V Skyrim,32.0,0.1,1986.0,0.01611278952668681
404,117657402,The Elder Scrolls V Skyrim,2.3,0.1,1986.0,0.0011581067472306145
407,199298990,The Elder Scrolls V Skyrim,4.0,0.1,1986.0,0.0020140986908358514
409,105277989,The Elder Scrolls V Skyrim,11.5,0.1,1986.0,0.005790533736153071
410,67244867,The Elder Scrolls V Skyrim,10.7,0.1,1986.0,0.005387713997985901
411,240497102,The Elder Scrolls V Skyrim,55.0,0.1,1986.0,0.02769385699899295
412,54761333,The Elder Scrolls V Skyrim,0.5,0.1,1986.0,0.00025176233635448137
413,95369808,The Elder Scrolls V Skyrim,56.0,0.1,1986.0,0.02819738167170192
414,118852041,The Elder Scrolls V Skyrim,22.0,0.1,1986.0,0.01107754279959718
416,259301403,The Elder Scrolls V Skyrim,1.2,0.1,1986.0,0.0006042296072507553
417,248354453,The Elder Scrolls V Skyrim,0.7,0.1,1986.0,0.00035246727089627386
419,116515230,The Elder Scrolls V Skyrim,2.0,0.1,1986.0,0.0010070493454179257
421,99110207,The Elder Scrolls V Skyrim,41.0,0.1,1986.0,0.020644511581067476
423,62990992,The Elder Scrolls V Skyrim,3.2,0.1,1986.0,0.0016112789526686808
424,169937489,The Elder Scrolls V Skyrim,0.7,0.1,1986.0,0.00035246727089627386
425,10302000,The Elder Scrolls V Skyrim,31.0,0.1,1986.0,0.015609264853977844
426,152078939,The Elder Scrolls V Skyrim,3.7,0.1,1986.0,0.0018630412890231621
427,115487966,The Elder Scrolls V Skyrim,54.0,0.1,1986.0,0.027190332326283987
428,65754991,The Elder Scrolls V Skyrim,68.0,0.1,1986.0,0.03423967774420947
430,44321815,The Elder Scrolls V Skyrim,30.0,0.1,1986.0,0.015105740181268885
435,92250668,The Elder Scrolls V Skyrim,12.6,0.1,1986.0,0.00634441087613293
437,115996656,The Elder Scrolls V Skyrim,19.8,0.1,1986.0,0.009969788519637462
438,92010366,The Elder Scrolls V Skyrim,52.0,0.1,1986.0,0.026183282980866064
439,132748085,The Elder Scrolls V Skyrim,51.0,0.1,1986.0,0.0256797583081571
440,49228258,The Elder Scrolls V Skyrim,53.0,0.1,1986.0,0.026686807653575024
441,90033155,The Elder Scrolls V Skyrim,5.2,0.1,1986.0,0.0026183282980866067
446,159371621,The Elder Scrolls V Skyrim,7.7,0.1,1986.0,0.0038771399798590133
447,201023624,The Elder Scrolls V Skyrim,41.0,0.1,1986.0,0.020644511581067476
448,26808868,The Elder Scrolls V Skyrim,2.4,0.1,1986.0,0.0012084592145015106
450,96536935,The Elder Scrolls V Skyrim,1.6,0.1,1986.0,0.0008056394763343404
451,98848653,The Elder Scrolls V Skyrim,40.0,0.1,1986.0,0.02014098690835851
452,14962163,The Elder Scrolls V Skyrim,1.7,0.1,1986.0,0.0008559919436052368
453,40080833,The Elder Scrolls V Skyrim,1.3,0.1,1986.0,0.0006545820745216517
454,76451157,The Elder Scrolls V Skyrim,5.3,0.1,1986.0,0.0026686807653575023
455,112547463,The Elder Scrolls V Skyrim,58.0,0.1,1986.0,0.029204431017119836
456,108160472,The Elder Scrolls V Skyrim,14.0,0.1,1986.0,0.007049345417925478
457,163930591,The Elder Scrolls V Skyrim,0.3,0.1,1986.0,0.00015105740181268882
458,189123038,The Elder Scrolls V Skyrim,1.4,0.1,1986.0,0.0007049345417925477
460,238410719,The Elder Scrolls V Skyrim,2.2,0.1,1986.0,0.001107754279959718
462,197652539,The Elder Scrolls V Skyrim,33.0,0.1,1986.0,0.016616314199395767
463,167815968,The Elder Scrolls V Skyrim,2.9,0.1,1986.0,0.001460221550855992
466,149810726,The Elder Scrolls V Skyrim,48.0,0.1,1986.0,0.024169184290030208
467,186167611,The Elder Scrolls V Skyrim,2.8,0.1,1986.0,0.0014098690835850955
468,83770731,The Elder Scrolls V Skyrim,2.2,0.1,1986.0,0.001107754279959718
469,82287546,The Elder Scrolls V Skyrim,10.5,0.1,1986.0,0.005287009063444109
472,30912860,The Elder Scrolls V Skyrim,20.0,0.1,1986.0,0.010070493454179257
473,155919035,The Elder Scrolls V Skyrim,4.0,0.1,1986.0,0.0020140986908358514
476,59662830,The Elder Scrolls V Skyrim,53.0,0.1,1986.0,0.026686807653575024
478,31187179,The Elder Scrolls V Skyrim,11.7,0.1,1986.0,0.005891238670694863
479,111163130,The Elder Scrolls V Skyrim,56.0,0.1,1986.0,0.02819738167170192
481,92503355,The Elder Scrolls V Skyrim,32.0,0.1,1986.0,0.01611278952668681
484,112626210,The Elder Scrolls V Skyrim,51.0,0.1,1986.0,0.0256797583081571
485,81672131,The Elder Scrolls V Skyrim,65.0,0.1,1986.0,0.03272910372608258
487,561758,The Elder Scrolls V Skyrim,8.6,0.1,1986.0,0.004330312185297079
488,127072755,The Elder Scrolls V Skyrim,17.5,0.1,1986.0,0.008811681772406849
492,137610845,The Elder Scrolls V Skyrim,71.0,0.1,1986.0,0.035750251762336364
493,144071257,The Elder Scrolls V Skyrim,6.9,0.1,1986.0,0.003474320241691843
494,116876958,The Elder Scrolls V Skyrim,42.0,0.1,1986.0,0.02114803625377644
495,92484390,The Elder Scrolls V Skyrim,16.5,0.1,1986.0,0.008308157099697884
496,61772065,The Elder Scrolls V Skyrim,39.0,0.1,1986.0,0.019637462235649543
497,187463594,The Elder Scrolls V Skyrim,5.5,0.1,1986.0,0.0027693856998992953
